City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Avarua,-21.21,-159.78,69.8,88,100,3.36,CK,1603823838
Provideniya,64.38,-173.3,28.98,96,97,4.52,RU,1603823840
Murgab,37.5,61.97,55.4,50,0,9.17,TM,1603823842
Geraldton,-28.77,114.6,60.8,77,40,8.05,AU,1603823844
Busselton,-33.65,115.33,60.01,74,66,9.78,AU,1603823846
Cherskiy,68.75,161.3,9.36,94,97,7.65,RU,1603823849
Nikolskoye,59.7,30.79,53.6,76,75,8.95,RU,1603823851
Mount Isa,-20.73,139.5,68.0,18,0,14.99,AU,1603823808
Puerto Escondido,15.85,-97.07,80.6,69,90,4.85,MX,1603823595
Saint-Philippe,-21.36,55.77,75.2,73,20,3.36,RE,1603823857
Mataura,-46.19,168.86,42.01,94,18,1.66,NZ,1603823859
Arraial do Cabo,-22.97,-42.03,82.4,69,0,13.87,BR,1603823861
Iqaluit,63.75,-68.51,14.0,78,40,5.82,CA,1603823806
Kapaa,22.08,-159.32,73.99,83,90,5.82,US,1603823866
Kasongo-Lunda,-6.47,16.82,73.11,91,33,1.92,CD,1603823868
Cape Town,-33.93,18.42,66.0,77,20,8.05,ZA,1603823870
Okahandja,-21.98,16.92,81.03,23,100,4.92,NA,1603823872
Avarua,-21.21,-159.78,69.8,88,100,3.36,CK,1603823838
Provideniya,64.38,-173.3,28.98,96,97,4.52,RU,1603823840
Murgab,37.5,61.97,55.4,50,0,9.17,TM,1603823842
Geraldton,-28.77,114.6,60.8,77,40,8.05,AU,1603823844
Busselton,-33.65,115.33,60.01,74,66,9.78,AU,1603823846
Cherskiy,68.75,161.3,9.36,94,97,7.65,RU,1603823849
Nikolskoye,59.7,30.79,53.6,76,75,8.95,RU,1603823851
Mount Isa,-20.73,139.5,68.0,18,0,14.99,AU,1603823808
Puerto Escondido,15.85,-97.07,80.6,69,90,4.85,MX,1603823595
Saint-Philippe,-21.36,55.77,75.2,73,20,3.36,RE,1603823857
Mataura,-46.19,168.86,42.01,94,18,1.66,NZ,1603823859
Arraial do Cabo,-22.97,-42.03,82.4,69,0,13.87,BR,1603823861
Iqaluit,63.75,-68.51,14.0,78,40,5.82,CA,1603823806
Kapaa,22.08,-159.32,73.99,83,90,5.82,US,1603823866
Kasongo-Lunda,-6.47,16.82,73.11,91,33,1.92,CD,1603823868
Cape Town,-33.93,18.42,66.0,77,20,8.05,ZA,1603823870
Okahandja,-21.98,16.92,81.03,23,100,4.92,NA,1603823872
Puerto Ayora,-0.74,-90.35,75.2,73,75,14.99,EC,1603823874
Hofn,64.25,-15.21,36.59,82,100,19.19,IS,1603823987
Dikson,73.51,80.55,11.43,96,99,17.11,RU,1603823990
Hithadhoo,-0.6,73.08,83.68,67,81,8.97,MV,1603823794
Neijiang,29.58,105.06,59.41,85,100,8.86,CN,1603823996
Malartic,48.13,-78.13,30.0,58,75,9.17,CA,1603823962
Udachny,66.42,112.4,-9.63,89,76,3.85,RU,1603823824
Muravlenko,63.79,74.52,3.36,94,0,12.55,RU,1603823838
Hasaki,35.73,140.83,54.0,93,40,6.93,JP,1603823814
Radomsko,51.07,19.44,54.0,10,100,55.99,PL,1603824011
Barrow,71.29,-156.79,30.2,80,75,13.87,US,1603824015
Dakar,14.69,-17.44,87.8,66,0,2.24,SN,1603824018
East London,-33.02,27.91,68.0,94,0,4.7,ZA,1603824021
Siavonga,-16.54,28.71,85.86,35,0,8.84,ZM,1603824024
Butaritari,3.07,172.79,81.12,67,100,6.6,KI,1603824027
Kruisfontein,-34.0,24.73,62.01,93,0,6.4,ZA,1603824031
Brandenburg,52.42,12.55,51.01,10,100,10.76,DE,1603824034
San Juan,-31.54,-68.54,92.64,10,1,19.1,AR,1603823956
Vostok,46.49,135.88,29.84,95,100,3.44,RU,1603823584
Sirtich,41.83,48.23,56.44,78,99,5.91,RU,1603824043
Hobart,-42.88,147.33,48.2,100,75,4.7,AU,1603823818
Lüderitz,-26.65,15.16,59.54,72,74,11.14,NA,1603823870
Stokmarknes,68.56,14.91,42.8,86,0,5.82,NO,1603824053
George Town,5.41,100.34,80.6,83,20,5.77,MY,1603824056
Hilo,19.73,-155.09,77.0,78,20,4.7,US,1603823903
Kwinana,-32.25,115.77,64.99,100,75,9.84,AU,1603824062
New Norfolk,-42.78,147.06,46.99,85,85,1.88,AU,1603823947
Horki,54.29,30.98,46.62,81,0,11.79,BY,1603824068
Yellowknife,62.46,-114.35,17.6,67,75,12.75,CA,1603823823
Olafsvik,64.89,-23.71,39.7,71,100,19.04,IS,1603823620
Korla,41.76,86.15,43.16,55,0,3.98,CN,1603823769
Hermanus,-34.42,19.23,63.0,90,100,3.0,ZA,1603824081
Maceió,-9.67,-35.74,82.4,74,75,17.22,BR,1603823592
Pineville,31.32,-92.43,84.2,73,75,8.05,US,1603823930
Quatre Cocos,-20.21,57.76,71.01,76,0,1.99,MU,1603823813
The Valley,18.22,-63.06,84.2,94,75,8.05,AI,1603824093
Chumikan,54.72,135.31,37.44,80,100,14.29,RU,1603824033
Calbe,51.9,11.77,50.0,80,100,5.01,DE,1603824099
Mount Gambier,-37.83,140.77,46.4,93,40,5.66,AU,1603823955
Cabo San Lucas,22.89,-109.91,82.99,61,5,6.93,MX,1603823957
Saint George,37.1,-113.58,54.0,11,1,4.7,US,1603823946
Tasiilaq,65.61,-37.64,33.8,47,75,11.41,GL,1603823948
Khajuraho,24.85,79.93,71.78,34,0,0.98,IN,1603824115
Norman Wells,65.28,-126.83,19.4,85,75,11.41,CA,1603824118
Margate,51.38,1.39,54.0,94,36,3.0,GB,1603823822
Morondava,-20.28,44.28,78.69,66,0,12.64,MG,1603824124
Albany,42.6,-73.97,52.0,57,100,4.61,US,1603823569
Rikitea,-23.12,-134.97,75.25,84,100,16.73,PF,1603824131
São Filipe,14.9,-24.5,81.75,70,100,8.68,CV,1603824134
Katsuura,35.13,140.3,60.8,72,20,8.05,JP,1603824137
Ushuaia,-54.8,-68.3,46.4,42,40,16.11,AR,1603823947
Banda Aceh,5.56,95.32,79.63,76,45,12.8,ID,1603824143
Baculin,7.45,126.58,78.22,80,98,5.39,PH,1603824146
Cidreira,-30.18,-50.21,67.89,71,86,12.95,BR,1603824123
Narsaq,60.92,-46.05,32.0,97,75,2.24,GL,1603824152
Hong Kong,22.29,114.16,77.0,76,53,1.01,HK,1603823718
Port Alfred,-33.59,26.89,68.68,88,0,3.91,ZA,1603823938
Bathsheba,13.22,-59.52,87.8,70,40,21.92,BB,1603823810
Robertsport,6.75,-11.37,81.46,80,100,7.72,LR,1603823776
Pevek,69.7,170.31,21.6,97,100,17.34,RU,1603824168
Faya,18.39,42.45,66.2,17,0,9.17,SA,1603824171
Jamestown,42.1,-79.24,46.99,75,90,8.05,US,1603824015
Saint Paul Harbor,57.79,-152.41,42.8,60,1,3.36,US,1603823931
Chui,-33.7,-53.46,62.19,92,100,15.46,UY,1603823960
Marsh Harbour,26.54,-77.06,82.44,74,0,11.3,BS,1603824184
Punta Arenas,-53.15,-70.92,51.8,40,40,20.8,CL,1603824124
Lake Charles,30.21,-93.2,84.2,69,75,8.05,US,1603823976
Cascais,38.7,-9.42,64.0,93,75,3.36,PT,1603824193
Alma,48.55,-71.65,30.99,58,75,6.93,CA,1603824196
Ponta do Sol,32.67,-17.1,68.0,64,40,6.93,PT,1603824199
Grand Gaube,-20.01,57.66,71.01,76,0,1.99,MU,1603823809
Buluang,13.31,123.34,77.34,83,95,2.82,PH,1603824205
Jalu,29.03,21.55,76.12,34,58,10.09,LY,1603824209
Avera,33.19,-82.53,77.0,69,1,3.36,US,1603824099
Uvinza,-5.1,30.39,70.68,80,100,0.81,TZ,1603824215
Katobu,-4.94,122.53,74.64,86,100,2.21,ID,1603824032
Shimoda,34.67,138.95,53.01,82,2,1.01,JP,1603824221
Santa Rosa,14.31,121.11,81.0,83,20,2.24,PH,1603824149
Ntungamo,-0.88,29.65,65.25,88,100,4.09,UG,1603824227
Altay,47.87,88.12,41.05,51,0,8.01,CN,1603824120
Puerto Ayacucho,5.66,-67.62,88.32,70,100,5.7,VE,1603823789
South Kazakhstan Region,43.0,68.0,33.57,75,0,9.19,KZ,1603824237
Tura,25.52,90.22,69.22,87,0,4.25,IN,1603824008
Isabela,6.71,121.97,75.2,94,90,2.24,PH,1603824243
North Port,27.04,-82.24,91.0,67,0,8.01,US,1603824236
Bengkulu,-3.8,102.27,75.65,84,94,4.81,ID,1603823793
Elko,41.0,-115.5,53.01,34,0,7.0,US,1603824252
Felipe Carrillo Puerto,19.58,-88.05,88.65,60,100,6.71,MX,1603824255
Bluff,-46.6,168.33,43.0,94,8,5.64,NZ,1603824259
Belen,36.49,36.22,73.4,27,0,8.05,TR,1603824262
Shulan,44.42,126.95,31.12,85,0,7.23,CN,1603824265
Makakilo City,21.35,-158.09,75.2,88,75,3.36,US,1603823802
Khatanga,71.97,102.5,1.71,93,99,12.95,RU,1603824271
Jackson,42.42,-122.83,48.2,34,1,1.03,US,1603824188
Bredasdorp,-34.53,20.04,64.4,72,100,5.82,ZA,1603824278
Cockburn Town,21.46,-71.14,86.0,66,40,13.87,TC,1603823700
Rawson,-43.3,-65.1,65.41,27,94,15.82,AR,1603823559
Linfen,36.09,111.52,52.79,74,100,2.66,CN,1603824287
Finschhafen,-6.6,147.87,79.56,76,99,5.06,PG,1603824290
Stanislav,46.57,32.15,55.4,87,75,11.18,UA,1603824293
Sokolo,14.73,-6.12,88.61,12,0,9.37,ML,1603824296
Faanui,-16.48,-151.75,79.95,82,100,18.14,PF,1603824001
Fairbanks,64.84,-147.72,27.0,100,90,4.7,US,1603824037
Payo,-3.75,103.64,72.77,91,96,1.7,ID,1603824306
Biak,-0.91,122.88,77.61,75,100,4.41,ID,1603824309
Tessalit,20.2,1.01,83.41,15,0,8.12,ML,1603824079
Lorengau,-2.02,147.27,80.38,73,100,1.39,PG,1603823795
Luwuk,-0.95,122.79,77.95,70,100,3.22,ID,1603824318
Bambous Virieux,-20.34,57.76,71.01,77,0,1.99,MU,1603824014
Hambantota,6.12,81.12,79.21,82,86,9.78,LK,1603824110
Green,40.95,-81.48,48.2,81,90,0.43,US,1603824328
Qaanaaq,77.48,-69.36,9.5,79,84,13.22,GL,1603824331
Itamaracá,-7.75,-34.83,84.2,66,40,13.87,BR,1603824334
Blackwater,-23.58,148.88,68.22,82,0,4.76,AU,1603824337
Rumuruti,0.27,36.54,63.48,70,75,8.21,KE,1603824341
Atuona,-9.8,-139.03,79.14,71,0,21.16,PF,1603824344
Kiknur,57.3,47.2,32.32,93,86,9.82,RU,1603824347
Viçosa do Ceará,-3.56,-41.09,86.5,41,92,9.53,BR,1603824350
Thompson,55.74,-97.86,26.6,68,75,4.7,CA,1603824353
Port Macquarie,-31.43,152.92,57.0,98,96,7.02,AU,1603824356
Lodja,-3.48,23.43,71.19,88,100,1.66,CD,1603824359
Lata,40.16,-8.33,61.0,92,100,1.99,PT,1603824082
Carnarvon,-24.87,113.63,68.0,88,0,20.8,AU,1603824366
Tabriz,38.08,46.29,55.4,37,24,4.7,IR,1603824209
Ascension,30.22,-90.9,82.4,74,90,5.82,US,1603824372
Constitución,-35.33,-72.42,57.09,70,24,8.95,CL,1603823750
Lompoc,34.64,-120.46,68.0,29,1,4.7,US,1603824329
Chokurdakh,70.63,147.92,11.23,97,100,0.74,RU,1603824104
Saskylakh,71.92,114.08,3.58,93,100,8.46,RU,1603824384
Vysha,53.85,42.38,36.61,82,100,6.55,RU,1603824387
Souillac,-20.52,57.52,71.01,77,16,1.01,MU,1603824390
Jiayuguan City,39.82,98.3,38.91,69,99,4.38,CN,1603824394
Tabou,4.42,-7.35,78.49,86,77,6.51,CI,1603824397
Tuatapere,-46.13,167.68,43.0,94,22,3.49,NZ,1603824400
Severo-Kuril'sk,50.68,156.12,42.89,85,16,6.85,RU,1603824403
Kasangulu,-4.59,15.17,75.79,85,98,3.53,CD,1603824406
Ribeira Grande,38.52,-28.7,64.4,63,40,2.24,PT,1603824409
Gorahun,7.47,-11.24,75.83,94,98,3.09,SL,1603824413
Middelburg,-25.78,29.46,68.86,55,2,6.46,ZA,1603824416
Batagay,67.63,134.63,6.39,94,95,2.86,RU,1603824419
Sawākin,19.11,37.33,83.14,73,8,2.01,SD,1603824422
Sol'-Iletsk,51.16,54.99,30.51,92,0,8.25,RU,1603824425
Okhotsk,59.38,143.3,28.15,82,0,8.43,RU,1603824428
Cayenne,4.93,-52.33,89.6,62,0,13.87,GF,1603824431
Kirishi,59.45,32.02,52.0,72,100,11.5,RU,1603824434
Asekeyevo,53.57,52.8,30.04,93,44,3.89,RU,1603824438
Kiryat Gat,31.61,34.76,78.01,100,0,4.9,IL,1603824425
Lima,-12.04,-77.03,69.01,77,75,4.7,PE,1603824444
Hailar,49.2,119.7,23.77,92,0,9.64,CN,1603824447
Peleduy,59.63,112.74,13.98,92,78,1.97,RU,1603824450
Saldanha,-33.01,17.94,62.6,82,100,8.05,ZA,1603824453
Lumut,4.23,100.63,77.86,87,82,5.59,MY,1603824456
Tessaoua,13.76,7.99,86.4,15,0,5.86,NE,1603824459
Ol'ga,43.74,135.29,41.22,81,59,3.0,RU,1603824463
Lamar,33.67,-95.58,48.0,100,90,8.05,US,1603824466
Longyearbyen,78.22,15.64,30.2,80,75,5.82,SJ,1603824469
Whitehorse,60.72,-135.05,32.0,89,75,5.82,CA,1603824472
Biu,10.61,12.19,76.78,30,0,3.49,NG,1603824475
Henties Bay,-22.12,14.28,59.0,86,0,4.0,NA,1603824478
Khovd,48.01,91.64,30.88,79,99,0.78,MN,1603824481
Catuday,16.29,119.81,78.75,86,100,10.07,PH,1603824485
College,64.86,-147.8,26.6,92,90,4.63,US,1603824488
Kayerkan,69.35,87.76,-1.97,86,0,5.21,RU,1603824491
Province of Trapani,37.83,12.67,66.0,59,75,11.41,IT,1603824494
La Trinitaria,16.12,-92.05,72.52,75,52,6.91,MX,1603824497
Gijang,35.24,129.21,55.4,76,100,3.36,KR,1603824500
Maridi,4.92,29.47,70.2,92,100,1.79,SS,1603824503
Kamaishi,39.27,141.88,51.01,72,29,4.83,JP,1603824262
Sorrento,40.63,14.37,60.8,63,75,8.05,IT,1603824508
Kahului,20.89,-156.47,80.6,69,20,1.54,US,1603824513
Enshi,30.3,109.48,57.96,82,100,1.83,CN,1603824516
Lebu,-37.62,-73.65,54.54,60,90,12.35,CL,1603824519
Maniitsoq,65.42,-52.9,21.99,87,0,5.95,GL,1603824522
Tuktoyaktuk,69.45,-133.04,10.4,92,90,11.41,CA,1603824525
Tilichiki,60.47,166.1,24.64,94,90,9.42,RU,1603824528
Japura,-0.32,102.35,74.75,95,100,2.66,ID,1603824531
Akranes,64.32,-22.07,42.8,41,0,20.8,IS,1603824534
Vaini,-21.2,-175.2,69.8,94,75,5.82,TO,1603824538
Kumul,42.8,93.45,45.1,47,0,7.72,CN,1603824541
Ballina,-28.87,153.57,62.6,100,90,5.82,AU,1603824544
Matara,5.95,80.54,77.2,89,90,6.24,LK,1603824547
Shalyhyne,51.57,34.12,48.52,66,64,11.61,UA,1603824550
Byron Bay,-28.65,153.62,62.6,100,90,5.82,AU,1603824325
Mar del Plata,-38.0,-57.56,66.2,52,0,11.41,AR,1603824556
Port Huron,42.97,-82.42,37.99,86,90,7.05,US,1603824559
Sitka,57.05,-135.33,44.6,87,90,4.7,US,1603824563
Mabaruma,8.2,-59.78,87.24,56,4,7.07,GY,1603824566
Tsimmerbude,54.67,20.13,53.6,87,75,4.47,RU,1603824569
Brae,60.4,-1.35,50.0,71,75,10.29,GB,1603824572
Port Keats,-14.25,129.55,79.16,73,2,2.51,AU,1603824575
Bubaque,11.28,-15.83,83.62,78,6,10.74,GW,1603824578
Port Lincoln,-34.73,135.87,55.11,85,0,5.08,AU,1603824581
Mocuba,-16.84,36.99,74.71,79,0,5.68,MZ,1603824584
Ahipara,-35.17,173.17,60.73,85,78,3.0,NZ,1603824588
Fortuna,40.6,-124.16,64.4,34,1,6.11,US,1603824484
Chitipa,-9.7,33.27,68.47,64,10,6.22,MW,1603824594
Daru,-9.08,143.21,79.14,87,100,7.23,PG,1603824597
Kainantu,-6.29,145.87,59.47,93,100,1.5,PG,1603824600
Ladário,-19.0,-57.6,86.0,58,75,2.24,BR,1603824362
Emerald,-23.53,148.17,64.4,100,0,6.98,AU,1603824606
Cristalina,-16.77,-47.61,77.9,65,74,7.18,BR,1603824609
Paris,48.85,2.35,55.4,100,90,14.99,FR,1603824417
Sagua de Tánamo,20.58,-75.24,88.7,56,0,10.04,CU,1603824616
Guerrero Negro,27.98,-114.06,74.28,19,0,19.42,MX,1603824619
Marawi,8.0,124.29,75.0,89,100,5.99,PH,1603824622
Ulundi,-28.34,31.42,73.89,67,100,4.9,ZA,1603824625
Mahébourg,-20.41,57.7,71.01,77,3,1.99,MU,1603824628
Castro,-24.79,-50.01,77.4,41,0,7.61,BR,1603824632
Los Llanos de Aridane,28.66,-17.92,71.6,68,75,11.41,ES,1603824635
San Patricio,28.02,-97.52,62.6,82,90,14.99,US,1603824638
Lagoa,39.05,-27.98,62.96,66,100,11.63,PT,1603824641
São Raimundo Nonato,-9.02,-42.7,74.75,90,100,4.92,BR,1603824644
Vila do Maio,15.13,-23.22,86.0,51,100,9.17,CV,1603824647
Meulaboh,4.14,96.13,76.06,88,64,4.0,ID,1603824650
Vanderhoof,54.02,-124.02,43.5,91,100,5.14,CA,1603824653
Amuntai,-2.42,115.25,74.14,95,100,1.32,ID,1603824656
Muros,42.78,-9.06,59.0,93,100,3.0,ES,1603824659
Bud,39.45,-86.18,46.99,93,90,3.24,US,1603824663
Port Elizabeth,-33.92,25.57,62.6,93,20,9.17,ZA,1603824666
Torbay,47.67,-52.73,42.8,100,90,6.93,CA,1603824669
Eureka,40.8,-124.16,64.4,58,1,3.36,US,1603824552
Gizo Government Station,-8.1,156.84,82.29,78,84,9.26,SB,1603824675
